ID,Top,Jungle,Mid,Bot,Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy Bot,Enemy Support,Team Gold,Team Kills,Team Deaths,Dragons,Dragon Soul,Baron,Rift Herald,First tower,First Kill,Team Total CC,Victory
EUW1_6239805025,Olaf,Maokai,Viktor,Caitlyn,Janna,Darius,Udyr,Ryze,Ashe,Brand,23650,10,16,0,False,0,0,False,True,69,False
EUW1_6239805025,Darius,Udyr,Ryze,Ashe,Brand,Olaf,Maokai,Viktor,Caitlyn,Janna,29408,16,10,2,False,0,1,True,False,72,True
EUW1_6239851020,Renekton,Khazix,Kassadin,Varus,Karma,Jax,Elise,Yone,Caitlyn,Bard,26710,9,22,0,False,0,1,False,False,65,False
EUW1_6239851020,Jax,Elise,Yone,Caitlyn,Bard,Renekton,Khazix,Kassadin,Varus,Karma,36275,22,9,2,False,0,1,True,True,65,True
EUW1_6239870124,Singed,Kindred,Tryndamere,Ezreal,Blitzcrank,Jax,Poppy,Akali,Jhin,Karma,58625,25,36,1,False,0,2,False,False,153,False
EUW1_6239870124,Jax,Poppy,Akali,Jhin,Karma,Singed,Kindred,Tryndamere,Ezreal,Blitzcrank,67383,36,25,4,True,3,0,True,True,138,True
EUW1_6239912786,Jayce,Elise,Kassadin,Samira,Nautilus,Camille,JarvanIV,Anivia,Caitlyn,Lux,52350,30,18,2,False,1,2,True,True,104,True
EUW1_6239912786,Camille,JarvanIV,Anivia,Caitlyn,Lux,Jayce,Elise,Kassadin,Samira,Nautilus,43333,18,30,1,False,0,0,False,False,121,False
EUW1_6239998952,Gangplank,Rumble,Tristana,Zeri,Karma,Jayce,Elise,Zed,Samira,Maokai,46505,18,30,1,False,0,0,True,False,65,False
EUW1_6239998952,Jayce,Elise,Zed,Samira,Maokai,Gangplank,Rumble,Tristana,Zeri,Karma,51325,30,18,3,False,1,2,False,True,91,True
EUW1_6240318117,Olaf,Zac,Ryze,Caitlyn,Karma,Jax,Elise,Irelia,Zeri,Sona,36950,12,27,0,False,0,1,False,False,101,False
EUW1_6240318117,Jax,Elise,Irelia,Zeri,Sona,Olaf,Zac,Ryze,Caitlyn,Karma,44308,27,12,2,False,1,1,True,True,51,True
EUW1_6240356447,KSante,Maokai,Irelia,Heimerdinger,Rell,Darius,JarvanIV,Syndra,Twitch,Yuumi,61105,32,38,4,True,2,2,False,True,189,True
EUW1_6240356447,Darius,JarvanIV,Syndra,Twitch,Yuumi,KSante,Maokai,Irelia,Heimerdinger,Rell,60093,38,32,1,False,0,0,True,False,132,False
EUW1_6240457916,Zeri,Elise,Ryze,Varus,Karma,Jax,Viego,Viktor,Ezreal,Alistar,49960,25,41,0,False,0,0,False,False,129,False
EUW1_6240457916,Jax,Viego,Viktor,Ezreal,Alistar,Zeri,Elise,Ryze,Varus,Karma,63100,41,25,3,False,1,2,True,True,100,True
EUW1_6240503804,Jax,Elise,Qiyana,Syndra,Nautilus,Gragas,Diana,Yasuo,Lucian,Nami,40610,17,30,0,False,0,0,False,False,151,False
EUW1_6240503804,Gragas,Diana,Yasuo,Lucian,Nami,Jax,Elise,Qiyana,Syndra,Nautilus,50975,30,17,3,False,1,2,True,True,79,True
EUW1_6240507377,KSante,Udyr,Ryze,Lucian,Yuumi,Jayce,Vi,Syndra,Caitlyn,Nami,44535,17,32,0,False,0,1,False,False,70,False
EUW1_6240507377,Jayce,Vi,Syndra,Caitlyn,Nami,KSante,Udyr,Ryze,Lucian,Yuumi,49780,32,17,3,False,0,1,True,True,113,True
EUW1_6240538942,Twitch,Udyr,Jayce,Zeri,Jax,Irelia,Viego,Syndra,Ezreal,Karma,63635,35,21,4,True,1,2,True,True,76,True
EUW1_6240538942,Irelia,Viego,Syndra,Ezreal,Karma,Twitch,Udyr,Jayce,Zeri,Jax,56343,21,35,1,False,0,0,False,False,79,False
EUW1_6240560958,Irelia,Diana,Akali,Kaisa,Nautilus,Jax,MonkeyKing,Taliyah,Seraphine,Senna,21880,7,21,0,False,0,0,False,False,26,False
EUW1_6240560958,Jax,MonkeyKing,Taliyah,Seraphine,Senna,Irelia,Diana,Akali,Kaisa,Nautilus,29410,21,7,2,False,0,1,True,True,53,True
EUW1_6240576083,Fiora,Talon,Sylas,Draven,Velkoz,Gangplank,LeeSin,Varus,Azir,Nautilus,79525,46,34,3,False,1,0,False,False,127,True
EUW1_6240576083,Gangplank,LeeSin,Varus,Azir,Nautilus,Fiora,Talon,Sylas,Draven,Velkoz,71010,34,46,1,False,1,2,True,True,172,False
EUW1_6240580902,Sylas,Hecarim,Tristana,Swain,Amumu,Kennen,MonkeyKing,Karma,Xayah,Bard,49380,21,42,1,False,0,0,False,False,147,False
EUW1_6240580902,Kennen,MonkeyKing,Karma,Xayah,Bard,Sylas,Hecarim,Tristana,Swain,Amumu,60625,42,21,3,False,1,2,True,True,136,True
EUW1_6240599206,Riven,Poppy,Syndra,Varus,Sona,Jax,Graves,Irelia,Karthus,Pantheon,69350,33,46,1,False,0,1,False,False,210,False
EUW1_6240599206,Jax,Graves,Irelia,Karthus,Pantheon,Riven,Poppy,Syndra,Varus,Sona,74705,46,33,4,True,2,0,True,True,145,True
EUW1_6240599256,Jayce,Maokai,Sylas,Kaisa,Pyke,KSante,Karthus,Tristana,Varus,Nautilus,52525,31,19,2,False,1,1,False,False,112,True
EUW1_6240599256,KSante,Karthus,Tristana,Varus,Nautilus,Jayce,Maokai,Sylas,Kaisa,Pyke,42700,19,31,1,False,0,1,True,True,134,False
EUW1_6240631439,Shen,Khazix,Azir,Zeri,Yuumi,Kennen,Rengar,Qiyana,Varus,Bard,30530,10,34,0,False,0,0,False,True,38,False
EUW1_6240631439,Kennen,Rengar,Qiyana,Varus,Bard,Shen,Khazix,Azir,Zeri,Yuumi,42850,34,10,3,False,0,2,True,False,86,True
EUW1_6240651293,Kennen,Kindred,Fizz,Ashe,Heimerdinger,Irelia,Ekko,Jayce,Ezreal,Velkoz,31400,20,11,1,False,0,1,True,True,53,True
EUW1_6240651293,Irelia,Ekko,Jayce,Ezreal,Velkoz,Kennen,Kindred,Fizz,Ashe,Heimerdinger,25058,11,20,1,False,0,0,False,False,32,False
